Date,Category,Notes,Link
3/5/2020,School Closed,Lowell High School In San Francisco Closed Due To,https://sanfrancisco.cbslocal.com/2020/03/05/lowell-high-school-san-francisco-closed-coronavirus/
3/16/2020,Stay at Home Order,"Bay Area orders 'shelter in place,' only essential businesses",https://www.sfchronicle.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php
4/17/2020,Mask Mandate,San Francisco Issues New Policy on Face Coverings | Office,https://sfmayor.org/article/san-francisco-issues-new-policy-face-coverings
5/13/2020,Business Opened,Majority of San Francisco retail businesses to reopen Monday,https://abc7news.com/when-will-san-francisco-reopen-bay-area-sf-mayor-press-conference-news/6179460/
5/28/2020,Mask Mandate,Major new San Francisco health order requires masks or face,https://www.sfchronicle.com/bayarea/article/New-order-requires-San-Franciscans-to-wear-face-15301735.php
5/28/2020,Business Opened,Napa County to partially reopen indoor businesses Monday,https://www.sfchronicle.com/business/article/SF-and-Napa-County-reopening-No-immediate-plans-15523106.php
7/1/2020,Business Closed,"Newsom orders new shutdown of restaurants, other indoor",https://www.sfchronicle.com/politics/article/Newsom-orders-shutdown-of-indoor-business-in-19-15380217.php
7/1/2020,Fourth of July Start,3 days before/after holiday for approximation,
7/7/2020,Fourth of July End,3 days before/after holiday for approximation,
8/28/2020,Stay at Home Order Lifted,Changes into tier system,https://www.gov.ca.gov/2020/08/28/governor-newsom-unveils-blueprint-for-a-safer-economy-a-statewide-stringent-and-slow-plan-for-living-with-covid-19/
8/28/2020,Red Tier,San Francisco starts at Red Tier,https://www.mercurynews.com/2020/08/28/california-revamps-pathway-for-counties-to-reopen-amid-coronavirus-pandemic/
9/4/2020,Labor Day Start,3 days before/after holiday for approximation,
9/10/2020,Labor Day End,3 days before/after holiday for approximation,
9/29/2020,Orange Tier,,https://abc7news.com/timeline-of-coronavirus-us-covid-19-bay-area-sf/6047519/
10/20/2020,Yellow Tier,,https://abc7news.com/timeline-of-coronavirus-us-covid-19-bay-area-sf/6047519/
10/20/2020,Business Opened,"S.F., Napa counties jump tiers, offices can soon reopen - San",https://www.bizjournals.com/sanfrancisco/news/2020/10/20/sf-offices-nonessential-reopen-yellow-tier.html
11/16/2020,Red Tier,,https://abc7news.com/timeline-of-coronavirus-us-covid-19-bay-area-sf/6047519/
11/17/2020,Mask Mandate,Updated Face Mask,https://sf.eater.com/2020/11/17/21571768/california-new-mask-law-servers-face-coverings-covid-19
11/23/2020,Thanksgiving Start,3 days before/after holiday for approximation,
11/28/2020,Purple Tier,,https://abc7news.com/timeline-of-coronavirus-us-covid-19-bay-area-sf/6047519/
11/29/2020,Thanksgiving End,3 days before/after holiday for approximation,
12/4/2020,Regional Stay at Home Order,Regional Stay at Home Order,https://sfmayor.org/article/san-francisco-join-bay-area-counties-preemptively-adopt-californias-regional-stay-home-order
12/18/2020,Christmas Start,Holiday Travel Approximation,
12/28/2020,New Years Start,3 days before/after holiday for approximation,
12/31/2020,Christmas End,Holiday Travel Approximation,
1/4/2021,New Years End,3 days before/after holiday for approximation,
1/28/2021,Regional Stay at Home Order Lifted,San Francisco to Reopen Some Activities in Response to,https://sfmayor.org/article/san-francisco-reopen-some-activities-response-state-lifting-regional-stay-home-order
3/3/2021,Business Opened,"San Francisco Reopens Indoor Dining, Gyms As Coronavirus",https://www.npr.org/sections/coronavirus-live-updates/2021/03/03/973144946/san-francisco-reopens-indoor-dining-gyms-as-coronavirus-cases-drop
3/3/2021,Red Tier,,https://abc7news.com/timeline-of-coronavirus-us-covid-19-bay-area-sf/6047519/
3/23/2021,Orange Tier,,https://abc7news.com/timeline-of-coronavirus-us-covid-19-bay-area-sf/6047519/
4/12/2021,School Opened,,https://abc7news.com/timeline-of-coronavirus-us-covid-19-bay-area-sf/6047519/
4/15/2021,Business Opened,San Francisco to Reopen and Expand Additional Businesses,https://sfmayor.org/article/san-francisco-reopen-and-expand-additional-businesses-and-activities
5/3/2021,School Opened,"In L.A. and San Francisco, Schools Reopen but Classrooms",https://www.wsj.com/articles/in-l-a-and-san-francisco-schools-are-open-but-classrooms-are-near-empty-11620050415
5/4/2021,Yellow Tier,,https://abc7news.com/timeline-of-coronavirus-us-covid-19-bay-area-sf/6047519/
5/4/2021,Business Opened,"LA, San Francisco lead California business reopening pace",https://apnews.com/article/san-francisco-travel-lifestyle-coronavirus-government-and-politics-b4b4799960fb6151bf0516fee72ce84c
6/15/2021,Mask “Mandate Lifted”,Statewide,https://covid19.ca.gov/safely-reopening/
